Number,Bd_1_El_dil,Bd_2_El_dil,Bd_3_El_dil,Bd_1_Fs_dil,Bd_2_Fs_dil,Bd_3_Fs_dil,El_1,El_2,El_3,Fs_1,Fs_2,Fs_3,Dil_Bd_El,Dil_Bd_Fs,Dil_El,Dil_Fs
1,22.9,22.89,,26.07,26.24,,35.42,34.91,,35.84,33.98,,10,50,10,50
2,27.54,26.94,,27.54,26.94,,35.67,38.92,,35.90,,,50,50,50,50
3,26.81,26.93,,26.81,26.93,,39.33,,,,,,50,50,50,50
4,24.61,24.93,,27.83,27.78,,35.77,39.55,,36.96,35.90,,10,50,10,50
5,24.04,23.55,,26.29,26.47,,36.65,34.98,,39.02,,,10,50,10,50
6,23.41,23.41,,23.41,23.41,,34.27,36.64,,36.82,35.93,,10,10,10,10
7,25.03,25.07,,25.03,25.07,,37.51,39.51,35.88,35.95,36.02,,10,10,10,10
8,23.09,22.89,,23.09,22.89,,37.03,,,34.90,34.33,,10,10,10,10
9,26.30,26.00,,26.30,26.00,,35.25,35.51,,37.58,,,100,100,100,100
10,22.66,22.41,,22.66,22.41,,27.23,27.74,27.81,36.92,34.89,,10,10,10,10
21,25.97,25.78,,24.59,24.89,,36.61,31.28,,32.56,34.05,,100,50,100,50
22,26.86,26.89,,25.25,25.97,,37.28,,,38.48,,,100,50,100,50
23,21.73,22.74,,25.85,26.03,,34.34,32.30,,35.36,37.07,,10,50,10,50
24,27.38,27.76,,26.13,26.21,,36.13,,,35.45,34.75,,100,50,100,50
25,25.33,25.33,,24.58,24.51,,36.58,35.49,,34.96,34.59,,100,50,100,50
26,26.37,27.35,,22.91,23.38,,36.52,36.23,,35.96,34.50,,100,10,100,10
27,27.35,27.17,,26.42,26.05,,33.06,32.65,,38.16,,,100,50,100,50
28,22.64,22.73,,22.64,22.73,,32.74,39.48,33.00,,,,10,10,10,50
29,22.46,22.36,,22.46,22.36,,29.89,28.70,,33.92,34.41,,10,10,10,10
30,25.80,25.99,,22.24,22.23,,34.04,33.71,,,,,100,10,100,50
