Pot,Virus,Endophyte,Height,Leaf_area,Soil_depth,Dry_shoot_mass,Dry_root_mass,Num_tillers,Empty tube mass,Full tube mass
1,1,1,10.4,3.56,1.8,0.0361,0.0175,1,1.111,1.1285
2,1,1,17,3.43,2.5,0.0527,0.0378,1,1.107,1.1448
3,1,1,16.8,2.87,2.5,0.0427,0.0391,1,1.1068,1.1459
4,1,1,10.2,2.98,1.6,0.0359,0.0138,1,1.107,1.1208
5,1,1,10.2,2.52,2,0.0323,0.016,1,1.1123,1.1283
6,1,1,10.9,1.74,2.8,0.0311,0.0107,1,1.1073,1.118
7,1,1,11.2,1.87,1.5,0.0296,0.013,1,1.1075,1.1205
8,1,1,15.9,2.03,2.4,0.0353,0.0168,1,1.1095,1.1263
9,1,1,15.2,1.79,4,0.0321,0.0113,1,1.1096,1.1209
10,1,1,11.1,2.12,3.3,0.0286,0.0066,1,1.1117,1.1183
11,1,0,18.5,4.51,2.3,0.0505,0.027,1,1.108,1.135
12,1,0,15.6,2.57,3,0.0342,0.0111,1,1.1094,1.1205
13,1,0,12.6,3.66,2,0.0324,0.0172,1,1.1097,1.1269
14,1,0,8.3,4.3,1.6,0.0329,0.0221,1,1.1094,1.1315
15,1,0,7.9,3.49,2.1,0.0216,0.0114,1,1.1096,1.121
16,1,0,26.6,6.59,1.5,0.0861,0.0343,1,1.1069,1.1412
17,1,0,12.9,5.51,3.5,0.0435,0.0244,1,1.1092,1.1336
18,1,0,15.1,3,1.6,0.0331,0.0107,1,1.1077,1.1184
19,1,0,8.8,4.29,2,0.0349,0.0121,1,1.1102,1.1223
20,1,0,9.4,3.3,2.7,0.0222,0.009,1,1.1122,1.1212
21,0,1,12.9,4.1,2.9,0.0521,0.0507,2,1.1123,1.163
22,0,1,19.9,4.3,3,0.0558,0.0661,1,1.1078,1.1739
23,0,1,16.4,3.58,1.5,0.0451,0.0353,1,1.1092,1.1445
24,0,1,21.5,4.66,2.3,0.073,0.0672,2,1.1122,1.1794
25,0,1,17.5,3.64,2.9,0.0529,0.0413,1,1.1125,1.1538
26,0,1,18.6,2.44,2.7,0.0397,0.023,1,1.1124,1.1354
27,0,1,17.1,3.38,3.5,0.0433,0.0333,1,1.1071,1.1404
28,0,1,19.1,2.35,2.6,0.0419,0.0224,1,1.1117,1.1341
29,0,1,17.8,3.5,2.7,0.0504,0.0331,1,1.11,1.1431
30,0,1,20.5,3.21,0.3,0.0601,0.0323,1,1.1116,1.1439
31,0,0,16.5,1.79,3.3,0.0336,0.0184,1,1.1094,1.1278
32,0,0,16,2.58,3.1,0.0397,0.0311,1,1.1061,1.1372
33,0,0,15.7,4.09,1.8,0.0475,0.0321,1,1.1061,1.1382
34,0,0,15.6,2.33,1.9,0.0432,0.0265,1,1.1067,1.1332
35,0,0,17.6,5.84,1.8,0.0492,0.0199,1,1.1062,1.1261
36,0,0,17.4,6.54,2,0.0589,0.0378,1,1.1065,1.1443
37,0,0,15.7,5.35,2.9,0.0393,0.0414,1,1.1092,1.1506
38,0,0,14.5,5.29,2.8,0.041,0.0329,2,1.112,1.1449
39,0,0,18.1,6.24,2.3,0.0472,0.0273,1,1.1095,1.1368
40,0,0,21.5,5.59,3.2,0.0536,0.0233,1,1.1062,1.1295
